Time (ms),ACS,ACO,std_ACO
0.0,1.0,1.0,0.0
0.1,1.0222222222222221,1.04,0.08000000000000007
0.2,1.0666666666666669,1.12,0.09797958971132721
0.30000000000000004,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.4,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.5,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.6000000000000001,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.7,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.8,1.0944444444444443,1.1600000000000001,0.14966629547095772
0.9000000000000001,1.0944444444444443,1.1600000000000001,0.14966629547095772
1.0,1.0944444444444443,1.1600000000000001,0.14966629547095772
1.1,1.0944444444444443,1.1600000000000001,0.14966629547095772
1.2000000000000002,1.0944444444444443,1.1600000000000001,0.14966629547095772
1.3000000000000003,1.1222222222222222,1.2000000000000002,0.1788854381999832
1.4,1.1222222222222222,1.2000000000000002,0.1788854381999832
1.5,1.1579365079365078,1.2400000000000002,0.23323807579381206
1.6,1.1579365079365078,1.2400000000000002,0.23323807579381206
1.7000000000000002,1.1579365079365078,1.2400000000000002,0.23323807579381206
1.8000000000000003,1.1579365079365078,1.2400000000000002,0.23323807579381206
1.9,1.1579365079365078,1.2400000000000002,0.23323807579381206
2.0,1.1579365079365078,1.2400000000000002,0.23323807579381206
2.1,1.1579365079365078,1.2400000000000002,0.23323807579381206
2.2,1.1801587301587302,1.28,0.20396078054371142
2.3,1.1801587301587302,1.28,0.20396078054371142
2.4000000000000004,1.1801587301587302,1.28,0.20396078054371142
2.5,1.1801587301587302,1.28,0.20396078054371142
2.6000000000000005,1.1801587301587302,1.28,0.20396078054371142
2.7,1.1801587301587302,1.28,0.20396078054371142
2.8,1.2500000000000002,1.36,0.23323807579381198
2.9000000000000004,1.277777777777778,1.44,0.23323807579381198
3.0,1.277777777777778,1.44,0.23323807579381198
3.1000000000000005,1.277777777777778,1.44,0.23323807579381198
3.2,1.277777777777778,1.44,0.23323807579381198
3.3,1.277777777777778,1.44,0.23323807579381198
3.4000000000000004,1.277777777777778,1.44,0.23323807579381198
3.5,1.277777777777778,1.44,0.23323807579381198
3.6000000000000005,1.3055555555555556,1.48,0.20396078054371136
3.7,1.3055555555555556,1.48,0.20396078054371136
3.8,1.3055555555555556,1.48,0.20396078054371136
3.9000000000000004,1.3055555555555556,1.48,0.20396078054371136
4.0,1.3412698412698414,1.56,0.23323807579381192
4.1000000000000005,1.2936507936507937,1.52,0.20396078054371128
4.2,1.2936507936507937,1.52,0.20396078054371128
4.3,1.3888888888888888,1.6800000000000002,0.4118252056394801
4.4,1.3888888888888888,1.6800000000000002,0.4118252056394801
4.500000000000001,1.4246031746031746,1.7200000000000002,0.39191835884530857
4.6,1.4246031746031746,1.7200000000000002,0.39191835884530857
4.7,1.4246031746031746,1.7200000000000002,0.39191835884530857
4.800000000000001,1.4722222222222223,1.7600000000000002,0.38781438859330636
4.8999999999999995,1.4722222222222223,1.7600000000000002,0.38781438859330636
5.0,1.4722222222222223,1.7600000000000002,0.38781438859330636
5.1000000000000005,1.4722222222222223,1.7600000000000002,0.38781438859330636
5.200000000000001,1.4722222222222223,1.7600000000000002,0.38781438859330636
5.3,1.4722222222222223,1.7600000000000002,0.38781438859330636
5.4,1.538888888888889,1.8400000000000003,0.42708313008125254
5.500000000000001,1.538888888888889,1.8400000000000003,0.42708313008125254
5.6,1.6388888888888888,2.0800000000000005,0.7652450587883596
5.7,1.6388888888888888,2.0800000000000005,0.7652450587883596
5.800000000000001,1.6388888888888888,2.0800000000000005,0.7652450587883596
5.8999999999999995,1.6666666666666667,2.12,0.7222188034107115
6.0,1.6666666666666667,2.12,0.7222188034107115
6.1000000000000005,1.6666666666666667,2.12,0.7222188034107115
6.200000000000001,1.6666666666666667,2.12,0.7222188034107115
6.3,1.6666666666666667,2.12,0.7222188034107115
6.4,1.6666666666666667,2.12,0.7222188034107115
6.500000000000001,1.6666666666666667,2.12,0.7222188034107115
6.6,1.6666666666666667,2.12,0.7222188034107115
6.7,1.6666666666666667,2.12,0.7222188034107115
6.800000000000001,1.769047619047619,2.3200000000000003,0.8059776671843955
6.9,1.769047619047619,2.3200000000000003,0.8059776671843955
7.0,1.769047619047619,2.3200000000000003,0.8059776671843955
7.1000000000000005,1.769047619047619,2.3200000000000003,0.8059776671843955
7.200000000000001,1.769047619047619,2.3200000000000003,0.8059776671843955
7.3,1.769047619047619,2.3200000000000003,0.8059776671843955
7.4,1.869047619047619,2.52,1.0777754868245981
7.500000000000001,1.869047619047619,2.52,1.0777754868245981
7.6,1.869047619047619,2.52,1.0777754868245981
7.7,1.869047619047619,2.52,1.0777754868245981
7.800000000000001,1.869047619047619,2.52,1.0777754868245981
7.9,1.869047619047619,2.52,1.0777754868245981
8.0,1.869047619047619,2.52,1.0777754868245981
8.1,1.869047619047619,2.52,1.0777754868245981
8.200000000000001,1.869047619047619,2.52,1.0777754868245981
8.3,1.9047619047619047,2.56,1.0461357464497614
8.4,1.9047619047619047,2.56,1.0461357464497614
8.5,1.9047619047619047,2.56,1.0461357464497614
8.6,1.9047619047619047,2.56,1.0461357464497614
8.700000000000001,1.9047619047619047,2.56,1.0461357464497614
8.8,1.9047619047619047,2.56,1.0461357464497614
8.9,1.9047619047619047,2.56,1.0461357464497614
9.000000000000002,1.9047619047619047,2.56,1.0461357464497614
9.1,1.9047619047619047,2.56,1.0461357464497614
9.2,1.9047619047619047,2.56,1.0461357464497614
9.3,1.9047619047619047,2.56,1.0461357464497614
