# Time	 BindingReaction0
0.000000e+00 0.000000e+00
1.000100e-04 0.000000e+00
2.000100e-04 0.000000e+00
3.000100e-04 2.500000e-01
4.000100e-04 2.500000e-01
5.000100e-04 7.500000e-01
6.000000e-04 1.250000e+00
7.000000e-04 1.500000e+00
8.000000e-04 1.500000e+00
9.000000e-04 1.500000e+00
1.000000e-03 1.500000e+00
1.100000e-03 1.500000e+00
1.200000e-03 1.500000e+00
1.300000e-03 1.500000e+00
1.400010e-03 1.500000e+00
1.500010e-03 2.000000e+00
1.600010e-03 2.000000e+00
1.700010e-03 2.250000e+00
1.800010e-03 2.500000e+00
1.900010e-03 3.000000e+00
2.000010e-03 3.500000e+00
2.100010e-03 3.750000e+00
2.200010e-03 4.000000e+00
2.300010e-03 4.000000e+00
2.400010e-03 4.250000e+00
2.500010e-03 4.500000e+00
2.600010e-03 4.500000e+00
2.700010e-03 4.500000e+00
2.800010e-03 4.500000e+00
2.900010e-03 4.500000e+00
3.000010e-03 4.500000e+00
3.100010e-03 4.500000e+00
3.200010e-03 4.500000e+00
3.300010e-03 5.000000e+00
3.400010e-03 5.000000e+00
3.500010e-03 5.000000e+00
3.600010e-03 5.000000e+00
3.700010e-03 5.000000e+00
3.800010e-03 5.000000e+00
3.900010e-03 5.000000e+00
4.000010e-03 5.250000e+00
4.100010e-03 5.500000e+00
4.200010e-03 5.500000e+00
4.300010e-03 5.500000e+00
4.400010e-03 5.500000e+00
4.500010e-03 5.500000e+00
4.600010e-03 5.500000e+00
4.700010e-03 5.500000e+00
4.800010e-03 5.500000e+00
4.900010e-03 5.500000e+00
5.000010e-03 5.500000e+00
5.100010e-03 6.000000e+00
5.200010e-03 6.000000e+00
5.300010e-03 6.250000e+00
5.400010e-03 6.250000e+00
5.500010e-03 6.500000e+00
5.600010e-03 6.750000e+00
5.700010e-03 7.000000e+00
5.800010e-03 7.000000e+00
5.900010e-03 7.250000e+00
6.000010e-03 7.750000e+00
6.100010e-03 7.750000e+00
6.200010e-03 8.000000e+00
6.300010e-03 8.000000e+00
6.400010e-03 8.250000e+00
6.500010e-03 8.250000e+00
6.600010e-03 8.500000e+00
6.700010e-03 8.750000e+00
6.800010e-03 8.750000e+00
6.900010e-03 9.250000e+00
7.000010e-03 9.500000e+00
7.100010e-03 9.500000e+00
7.200010e-03 9.500000e+00
7.300010e-03 9.500000e+00
7.400010e-03 9.500000e+00
7.500010e-03 9.500000e+00
7.600010e-03 9.750000e+00
7.700010e-03 1.025000e+01
7.800010e-03 1.025000e+01
7.900010e-03 1.025000e+01
8.000010e-03 1.025000e+01
8.100010e-03 1.050000e+01
8.200010e-03 1.050000e+01
8.300010e-03 1.075000e+01
8.400010e-03 1.100000e+01
8.500010e-03 1.100000e+01
8.600010e-03 1.100000e+01
8.700010e-03 1.100000e+01
8.800010e-03 1.125000e+01
8.900010e-03 1.125000e+01
9.000010e-03 1.150000e+01
9.100010e-03 1.150000e+01
9.200010e-03 1.150000e+01
9.300010e-03 1.150000e+01
9.400010e-03 1.150000e+01
9.500010e-03 1.150000e+01
9.600010e-03 1.150000e+01
9.700010e-03 1.150000e+01
9.800010e-03 1.150000e+01
9.900010e-03 1.150000e+01
1.000001e-02 1.150000e+01
