Total clusters, 30

Cluster Index, 3
Size, 3
R, 1
Adapter, 2

Cluster Index, 7
Size, 3
R, 2
Adapter, 1

Cluster Index, 13
Size, 2
R, 1
Adapter, 1

