Total clusters, 12

Cluster Index, 0
Size, 3
R, 2
Adapter, 1

Cluster Index, 1
Size, 2
R, 1
Adapter, 1

Cluster Index, 5
Size, 2
R, 1
Adapter, 1

