# Time	 BindingReaction0
0.000000e+00 0.000000e+00
1.000100e-04 0.000000e+00
2.000100e-04 0.000000e+00
3.000100e-04 4.330127e-01
4.000100e-04 4.330127e-01
5.000100e-04 1.299038e+00
6.000000e-04 1.299038e+00
7.000000e-04 1.658312e+00
8.000000e-04 1.658312e+00
9.000000e-04 1.658312e+00
1.000000e-03 1.658312e+00
1.100000e-03 1.658312e+00
1.200000e-03 1.658312e+00
1.300000e-03 1.658312e+00
1.400010e-03 1.658312e+00
1.500010e-03 1.414214e+00
1.600010e-03 1.414214e+00
1.700010e-03 1.479020e+00
1.800010e-03 1.658312e+00
1.900010e-03 1.732051e+00
2.000010e-03 8.660254e-01
2.100010e-03 4.330127e-01
2.200010e-03 0.000000e+00
2.300010e-03 0.000000e+00
2.400010e-03 4.330127e-01
2.500010e-03 8.660254e-01
2.600010e-03 8.660254e-01
2.700010e-03 8.660254e-01
2.800010e-03 8.660254e-01
2.900010e-03 8.660254e-01
3.000010e-03 8.660254e-01
3.100010e-03 8.660254e-01
3.200010e-03 8.660254e-01
3.300010e-03 1.000000e+00
3.400010e-03 1.000000e+00
3.500010e-03 1.000000e+00
3.600010e-03 1.000000e+00
3.700010e-03 1.000000e+00
3.800010e-03 1.000000e+00
3.900010e-03 1.000000e+00
4.000010e-03 1.299038e+00
4.100010e-03 1.658312e+00
4.200010e-03 1.658312e+00
4.300010e-03 1.658312e+00
4.400010e-03 1.658312e+00
4.500010e-03 1.658312e+00
4.600010e-03 1.658312e+00
4.700010e-03 1.658312e+00
4.800010e-03 1.658312e+00
4.900010e-03 1.658312e+00
5.000010e-03 1.658312e+00
5.100010e-03 2.449490e+00
5.200010e-03 2.449490e+00
5.300010e-03 2.487469e+00
5.400010e-03 2.487469e+00
5.500010e-03 2.598076e+00
5.600010e-03 2.772634e+00
5.700010e-03 3.000000e+00
5.800010e-03 3.000000e+00
5.900010e-03 2.772634e+00
6.000010e-03 2.861381e+00
6.100010e-03 2.861381e+00
6.200010e-03 2.549510e+00
6.300010e-03 2.549510e+00
6.400010e-03 2.277608e+00
6.500010e-03 2.277608e+00
6.600010e-03 2.061553e+00
6.700010e-03 2.277608e+00
6.800010e-03 2.277608e+00
6.900010e-03 2.384848e+00
7.000010e-03 2.291288e+00
7.100010e-03 2.291288e+00
7.200010e-03 2.291288e+00
7.300010e-03 2.291288e+00
7.400010e-03 2.291288e+00
7.500010e-03 2.291288e+00
7.600010e-03 1.920286e+00
7.700010e-03 1.479020e+00
7.800010e-03 1.479020e+00
7.900010e-03 1.479020e+00
8.000010e-03 1.479020e+00
8.100010e-03 1.658312e+00
8.200010e-03 1.658312e+00
8.300010e-03 1.299038e+00
8.400010e-03 1.000000e+00
8.500010e-03 1.000000e+00
8.600010e-03 1.000000e+00
8.700010e-03 1.000000e+00
8.800010e-03 1.299038e+00
8.900010e-03 1.299038e+00
9.000010e-03 1.658312e+00
9.100010e-03 1.658312e+00
9.200010e-03 1.658312e+00
9.300010e-03 1.658312e+00
9.400010e-03 1.658312e+00
9.500010e-03 1.658312e+00
9.600010e-03 1.658312e+00
9.700010e-03 1.658312e+00
9.800010e-03 1.658312e+00
9.900010e-03 1.658312e+00
1.000001e-02 1.658312e+00
