Time, TOTAL R : R : State0,FREE R : R : State0,BOUND R : R : State0,TOTAL R : R : State1,FREE R : R : State1,BOUND R : R : State1,TOTAL R : L : State0,FREE R : L : State0,BOUND R : L : State0,TOTAL R : Anchor : Anchor,FREE R : Anchor : Anchor,BOUND R : Anchor : Anchor,TOTAL Adapter : A : State0,FREE Adapter : A : State0,BOUND Adapter : A : State0,TOTAL Adapter : L : State0,FREE Adapter : L : State0,BOUND Adapter : L : State0,
0.005500009999975316,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.005600009999974722,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.0057000099999741285,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.005800009999973535,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.005900009999972941,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006000009999972347,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006100009999971753,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006200009999971159,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006300009999970565,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006400009999969971,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.0065000099999693774,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.0066000099999687836,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.00670000999996819,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006800009999967596,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.006900009999967002,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007000009999966408,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007100009999965814,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.00720000999996522,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007300009999964626,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.0074000099999640325,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007500009999963439,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007600009999962845,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007700009999962251,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007800009999961657,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.007900009999961063,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.00800000999996047,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008100009999959875,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008200009999959281,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008300009999958688,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008400009999958094,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.0085000099999575,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008600009999956906,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008700009999956312,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008800009999955718,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.008900009999955124,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.00900000999995453,12,8,4,0,0,0,6,6,0,6,6,0,14,10,4,7,7,0,
0.009100009999953937,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009200009999953343,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009300009999952749,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009400009999952155,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009500009999951561,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009600009999950967,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009700009999950373,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.00980000999994978,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.009900009999949185,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
0.010000009999948592,12,7,5,0,0,0,6,6,0,6,6,0,14,9,5,7,7,0,
